,,
,,
Item,Qty,Notes
Packs & Bags,,
Backpack,1,65L Internal Frame -- Can be rented at Philmont
Daypack,1,Lightweight w/ space for water & rain gear
Pack Cover,1,Waterproof
Stuff Sacks,3-6,Organize Personal Items
Dry Bag,1,Use for Laundry on Trail
Dry Bag/ Compression Sack,1,Sleeping Bag Storage
Clothing,,
Underwear,3,
Socks,3,
Shirts,2,Longsleeve fishing shirts are popular
Pants/ Shorts,2,"If bringing zip off pants, only bring 1 pair of legs"
Hat,1,
Fleece,1,Lighweight 
Puffy Jacket,1,
Rain Jacket,1,Goretex or generic equivalent. No Frog Togs
Rain Pants,1,
Beenie Cap,1,
Hiking Boots,1,
Camp Shoes,1,"Closed toe. Crocs, Keen sandals or old sneakers work"
Sleeping Gear,,
Sleeping Bag,1,Down 15 or 20 degree bag
Sleeping Pad,1,Insulated - Inflatable is best. 
Sleep Clothes,1,Shorts & t shirt for sleeping only -- no cotton
Toiletries/ Personal First Aid,,
Toothbrush/ toothpaste,1,
Sunscreen,1,
Body Glide,,
Lip Balm,1,
Biodegradable Soap,1,Small -- only need a few ounces
Tape for feet,1,KT tape strips or duct tape.
Compeed Blister Care,1,Packet of assorted sizes
Camp Towel,1,Small 12 x 20 or 15 x 30 inches
Other Gear,,
Bowl or plate,1,
Spork,1,Long smooth handle.
Spices or Hot Sauce,1,
Coffee,1,Starbucks Via
Mug/ Cup,1,Insulated/ lightweight. Can be optional
Nalgene Water Bottle,2,One needs to be clean -- ie never used for anything but water.
Water Bladder,1,100L -- removable drinking tube is helpful
Knife,1,
Carabiner,1,
Lighter,1,
Headlamp,1,
Trekking Poles,1,Lightweight w/ rubber tips
Bandana or Buff,1,
Notepad & Pen,1,
Battery Bank,,
Optional,,
Lashing Straps,,Depends on pack and what will be carried externally
Magnets for water bladder hose,,
Sunglasses,,
Fishing Rod/ Fly's,,
Chair,,Weight should be about 1lb
Tent,,
